"","approx_year_built","cats_allowed","coop_condo","dining_room_type","dogs_allowed","fuel_type","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_full_bathrooms","num_half_bathrooms","num_total_rooms","sale_price","sq_footage","walk_score","Zipcode","total_charges"
"1",1955,"No","co-op","combo","No","gas","no","Eat_In",NA,2,1,0,5,228000,NA,"Very Walkable","North Queens",0
"2",1955,"No","co-op","formal","No","oil","no","Eat_In",604,1,1,0,4,235500,890,"Very Walkable","North Queens",0
"3",2004,"No","condo","combo","No",NA,"no","Efficient",0,1,1,0,3,137550,550,"Walker's Paradise","West Queens",625.333333333333
"4",2002,"No","condo","combo","No","gas","no","Eat_In",0,3,2,0,5,545000,NA,"Walker's Paradise","North Queens",463.333333333333
"5",1949,"Yes","co-op","combo","Yes","gas","no","Eat_In",660,2,1,0,4,241700,675,"Very Walkable","Southeast Queens",0
"6",1938,"Yes","co-op","combo","Yes","oil","no","Eat_In",932,2,1,0,4,250000,1000,"Walker's Paradise","Southwest Queens",0
"7",1950,"No","co-op","combo","No","gas","no","Efficient",660,1,1,0,3,145000,NA,"Very Walkable","Jamaica",0
"8",1960,"No","co-op",NA,"No","gas","no","Efficient",514,0,1,0,2,109000,375,"Walker's Paradise","West Central Queens",0
"9",1960,"No","co-op",NA,"No","oil","no","Eat_In",781,1,1,0,4,212000,NA,"Very Walkable","North Queens",0
"10",2005,"No","condo","other","No",NA,"no","Eat_In",0,1,1,0,3,535000,681,"Walker's Paradise","Northwest Queens",NA
"11",1982,"No","condo","formal","No","gas","yes","Eat_In",0,2,2,0,5,675000,NA,"Very Walkable","North Queens",1271
"12",1982,"No","condo","combo","No","oil","yes","Eat_In",0,1,1,0,4,468000,NA,"Very Walkable","North Queens",837.666666666667
"13",1961,"Yes","co-op","combo","No","gas","no","Eat_In",829,2,1,0,4,220000,NA,"Very Walkable","Northeast Queens",0
"14",1960,"Yes","co-op","combo","No","oil","no","Combo",986,3,1,0,5,280000,950,"Very Walkable","North Queens",0
"15",1985,"No","condo","formal","Yes","gas","yes","Eat_In",0,3,2,0,6,533000,1100,"Very Walkable","Central Queens",515.75
"16",1960,"No","co-op","combo","No","oil","no","Combo",NA,2,2,0,5,370000,1300,"Very Walkable","North Queens",0
"17",1962,"No","co-op","formal","No","other","no","Combo",NA,2,2,0,5,392000,NA,"Very Walkable","West Central Queens",0
"18",1955,"Yes","co-op",NA,"Yes","oil","no","Efficient",587,1,1,0,3,2e+05,NA,"Walker's Paradise","West Central Queens",0
"19",1963,"No","co-op",NA,"No","gas","no","Efficient",NA,2,2,0,5,289550,NA,"Walker's Paradise","Southwest Queens",0
"20",1960,"No","co-op","combo","No","oil","no","Efficient",655,1,1,0,3,140000,NA,"Walker's Paradise","Southwest Queens",0
"21",1956,"No","co-op","combo","No","oil","no","Eat_In",791,1,1,0,3,175000,NA,"Walker's Paradise","Southwest Queens",0
"22",1956,"Yes","co-op",NA,"No","oil","no","Efficient",660,1,1,0,4,150000,NA,"Very Walkable","Jamaica",0
"23",2008,"No","condo","combo","No","gas","no","Efficient",0,3,2,0,7,5e+05,991,"Very Walkable","West Queens",541.083333333333
"24",1948,"No","co-op",NA,"No","oil","no","Efficient",963,1,1,0,4,105000,NA,"Very Walkable","Jamaica",0
"25",1958,"No","co-op","other","No","oil","no","Eat_In",830,3,1,1,5,270000,1150,"Walker's Paradise","West Queens",0
"26",1955,"No","co-op","combo","No","gas","no","Efficient",512,1,1,0,3,130000,NA,"Somewhat Walkable","Southeast Queens",0
"27",1984,"Yes","condo","other","No","gas","no","Eat_In",0,2,1,0,5,527000,1000,"Somewhat Walkable","West Central Queens",650.5
"28",1954,"Yes","co-op","formal","No","gas","no","Efficient",733,2,1,1,5,350000,NA,"Very Walkable","North Queens",0
"29",1961,"No","co-op","combo","No","other","no","Efficient",NA,2,1,0,5,365000,NA,"Somewhat Walkable","Northeast Queens",0
"30",1952,"No","co-op","combo","No","oil","no","Efficient",786,2,1,0,4,290000,NA,"Walker's Paradise","West Central Queens",0
"31",1928,"Yes","co-op",NA,"Yes","gas","no","Eat_In",NA,1,1,0,3,285000,850,"Walker's Paradise","West Queens",0
"32",1960,"No","co-op",NA,"No","gas","no","Combo",855,2,1,0,4,380000,900,"Somewhat Walkable","Northeast Queens",0
"33",1960,"Yes","co-op","formal","No","gas","no","Efficient",850,2,2,0,5,255000,NA,"Very Walkable","Southwest Queens",0
"34",1965,"Yes","co-op","combo","Yes",NA,"no","Eat_In",685,1,1,0,3,175000,750,"Very Walkable","West Central Queens",0
"35",1952,"No","co-op","formal","No","gas","no","Efficient",500,1,1,0,3,138000,NA,"Very Walkable","North Queens",0
"36",2015,"Yes","condo",NA,"Yes","gas","no","Eat_In",0,1,1,0,3,570000,NA,"Walker's Paradise","Northwest Queens",407.333333333333
"37",2015,"Yes","condo",NA,"Yes","gas","no","Eat_In",0,1,1,0,3,605000,530,"Walker's Paradise","Northwest Queens",469.583333333333
"38",1955,"Yes","co-op","combo","Yes","gas","no","Efficient",669,1,1,0,4,175500,NA,"Somewhat Walkable","Northeast Queens",0
"39",1960,"No","co-op","formal","No","gas","no","Eat_In",845,2,1,0,6,222500,950,"Very Walkable","North Queens",0
"40",1969,"No","co-op","formal","No","oil","yes","Eat_In",NA,2,2,0,5,6e+05,NA,"Very Walkable","North Queens",0
"41",1960,"No","co-op","combo","No","gas","no","Eat_In",NA,2,1,0,5,260000,NA,"Very Walkable","North Queens",0
"42",1952,"Yes","co-op","other","Yes","gas","no","Efficient",543,1,1,0,3,220000,NA,"Walker's Paradise","West Queens",0
"43",1930,"Yes","co-op","other","No","oil","no","Efficient",857,2,1,0,5,154000,NA,"Very Walkable","Southwest Queens",0
"44",1955,"No","co-op",NA,"No","oil","no","Efficient",664,1,1,0,3,155000,NA,"Very Walkable","Northeast Queens",0
"45",1955,"Yes","co-op","other","Yes","gas","no","Efficient",739,2,1,0,5,327000,984,"Walker's Paradise","West Central Queens",0
"46",1950,"No","co-op","combo","No","gas","no","Eat_In",576,1,1,0,4,106000,NA,"Very Walkable","Southeast Queens",0
"47",1961,"No","co-op","combo","No","oil","no","Efficient",813,2,2,0,6,260000,1200,"Very Walkable","West Queens",0
"48",1950,"Yes","co-op",NA,"Yes","oil","no","Combo",684,1,1,0,4,135000,590,"Somewhat Walkable","Southeast Queens",0
"49",1945,"No","co-op",NA,"No","oil","no","Efficient",720,2,1,0,4,124000,702,"Very Walkable","Southeast Queens",0
"50",1941,"No","co-op","formal","No","gas","no","Combo",910,2,1,0,4,340000,1000,"Walker's Paradise","West Central Queens",0
"51",1955,"No","co-op","combo","No","gas","no","Eat_In",814,2,1,0,4,233000,NA,"Very Walkable","North Queens",0
"52",1968,"No","co-op","formal","No","gas","no","Efficient",392,1,1,0,4,127500,NA,"Very Walkable","West Central Queens",0
"53",1985,"No","condo","combo","No","gas","no","Combo",0,1,1,0,3,440000,689,"Walker's Paradise","North Queens",441.333333333333
"54",1985,"No","condo",NA,"No","gas","no","Efficient",495,2,1,1,5,610000,NA,"Walker's Paradise","North Queens",NA
"55",1952,"No","co-op",NA,"No","oil","no","Efficient",724,1,1,0,3,131000,750,"Walker's Paradise","Jamaica",0
"56",1950,"No","co-op","combo","No","oil","no","Eat_In",846,3,1,0,5,275000,NA,"Very Walkable","Northeast Queens",0
"57",1965,"Yes","co-op","formal","No","oil","no","Efficient",733,1,1,0,3,96000,NA,"Very Walkable","Southwest Queens",0
"58",1950,"Yes","co-op","formal","No","gas","no","Efficient",601,3,1,0,6,270000,NA,"Very Walkable","Northeast Queens",0
"59",1961,"Yes","co-op","formal","No","gas","no","Eat_In",NA,3,2,0,5,390000,NA,"Very Walkable","Northeast Queens",0
