"","is_missing_approx_year_built","is_missing_dining_room_type","is_missing_fuel_type","is_missing_kitchen_type","is_missing_maintenance_cost","is_missing_num_bedrooms","is_missing_num_total_rooms","is_missing_sale_price","is_missing_sq_footage","is_missing_total_charges","approx_year_built","cats_allowed","coop_condo","dining_room_type","dogs_allowed","fuel_type","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_full_bathrooms","num_half_bathrooms","num_total_rooms","sale_price","sq_footage","walk_score","Zipcode","total_charges"
"1",0,0,0,0,1,0,0,0,1,0,1955,"No","co-op","combo","No","gas","no","Eat_In",NA,2,1,0,5,228000,NA,"Very Walkable","North Queens",0
"2",0,0,0,0,0,0,0,0,0,0,1955,"No","co-op","formal","No","oil","no","Eat_In",604,1,1,0,4,235500,890,"Very Walkable","North Queens",0
"3",0,0,1,0,0,0,0,0,0,0,2004,"No","condo","combo","No",NA,"no","Efficient",0,1,1,0,3,137550,550,"Walker's Paradise","West Queens",625.333333333333
"4",0,0,0,0,0,0,0,0,1,0,2002,"No","condo","combo","No","gas","no","Eat_In",0,3,2,0,5,545000,NA,"Walker's Paradise","North Queens",463.333333333333
"5",0,0,0,0,0,0,0,0,0,0,1949,"Yes","co-op","combo","Yes","gas","no","Eat_In",660,2,1,0,4,241700,675,"Very Walkable","Southeast Queens",0
"6",0,0,0,0,0,0,0,0,0,0,1938,"Yes","co-op","combo","Yes","oil","no","Eat_In",932,2,1,0,4,250000,1000,"Walker's Paradise","Southwest Queens",0
"7",0,0,0,0,0,0,0,0,1,0,1950,"No","co-op","combo","No","gas","no","Efficient",660,1,1,0,3,145000,NA,"Very Walkable","Jamaica",0
"8",0,1,0,0,0,0,0,0,0,0,1960,"No","co-op",NA,"No","gas","no","Efficient",514,0,1,0,2,109000,375,"Walker's Paradise","West Central Queens",0
"9",0,1,0,0,0,0,0,0,1,0,1960,"No","co-op",NA,"No","oil","no","Eat_In",781,1,1,0,4,212000,NA,"Very Walkable","North Queens",0
"10",0,0,1,0,0,0,0,0,0,1,2005,"No","condo","other","No",NA,"no","Eat_In",0,1,1,0,3,535000,681,"Walker's Paradise","Northwest Queens",NA
"11",0,0,0,0,0,0,0,0,1,0,1982,"No","condo","formal","No","gas","yes","Eat_In",0,2,2,0,5,675000,NA,"Very Walkable","North Queens",1271
"12",0,0,0,0,0,0,0,0,1,0,1982,"No","condo","combo","No","oil","yes","Eat_In",0,1,1,0,4,468000,NA,"Very Walkable","North Queens",837.666666666667
"13",0,0,0,0,0,0,0,0,1,0,1961,"Yes","co-op","combo","No","gas","no","Eat_In",829,2,1,0,4,220000,NA,"Very Walkable","Northeast Queens",0
"14",0,0,0,0,0,0,0,0,0,0,1960,"Yes","co-op","combo","No","oil","no","Combo",986,3,1,0,5,280000,950,"Very Walkable","North Queens",0
"15",0,0,0,0,0,0,0,0,0,0,1985,"No","condo","formal","Yes","gas","yes","Eat_In",0,3,2,0,6,533000,1100,"Very Walkable","Central Queens",515.75
"16",0,0,0,0,1,0,0,0,0,0,1960,"No","co-op","combo","No","oil","no","Combo",NA,2,2,0,5,370000,1300,"Very Walkable","North Queens",0
"17",0,0,0,0,1,0,0,0,1,0,1962,"No","co-op","formal","No","other","no","Combo",NA,2,2,0,5,392000,NA,"Very Walkable","West Central Queens",0
"18",0,1,0,0,0,0,0,0,1,0,1955,"Yes","co-op",NA,"Yes","oil","no","Efficient",587,1,1,0,3,2e+05,NA,"Walker's Paradise","West Central Queens",0
"19",0,1,0,0,1,0,0,0,1,0,1963,"No","co-op",NA,"No","gas","no","Efficient",NA,2,2,0,5,289550,NA,"Walker's Paradise","Southwest Queens",0
"20",0,0,0,0,0,0,0,0,1,0,1960,"No","co-op","combo","No","oil","no","Efficient",655,1,1,0,3,140000,NA,"Walker's Paradise","Southwest Queens",0
"21",0,0,0,0,0,0,0,0,1,0,1956,"No","co-op","combo","No","oil","no","Eat_In",791,1,1,0,3,175000,NA,"Walker's Paradise","Southwest Queens",0
"22",0,1,0,0,0,0,0,0,1,0,1956,"Yes","co-op",NA,"No","oil","no","Efficient",660,1,1,0,4,150000,NA,"Very Walkable","Jamaica",0
"23",0,0,0,0,0,0,0,0,0,0,2008,"No","condo","combo","No","gas","no","Efficient",0,3,2,0,7,5e+05,991,"Very Walkable","West Queens",541.083333333333
"24",0,1,0,0,0,0,0,0,1,0,1948,"No","co-op",NA,"No","oil","no","Efficient",963,1,1,0,4,105000,NA,"Very Walkable","Jamaica",0
"25",0,0,0,0,0,0,0,0,0,0,1958,"No","co-op","other","No","oil","no","Eat_In",830,3,1,1,5,270000,1150,"Walker's Paradise","West Queens",0
"26",0,0,0,0,0,0,0,0,1,0,1955,"No","co-op","combo","No","gas","no","Efficient",512,1,1,0,3,130000,NA,"Somewhat Walkable","Southeast Queens",0
"27",0,0,0,0,0,0,0,0,0,0,1984,"Yes","condo","other","No","gas","no","Eat_In",0,2,1,0,5,527000,1000,"Somewhat Walkable","West Central Queens",650.5
"28",0,0,0,0,0,0,0,0,1,0,1954,"Yes","co-op","formal","No","gas","no","Efficient",733,2,1,1,5,350000,NA,"Very Walkable","North Queens",0
